track,branch,role,sdr,sir,sar
Secretariat_-_Borderline,xover100,bass,-4.5156,-0.0092,19.3306
Secretariat_-_Borderline,xover100,drums,-5.4627,-9.8319,14.5885
Secretariat_-_Borderline,xover100,other,1.8012,0.1338,9.9494
Secretariat_-_Borderline,xover150,vocals,1.2595,0.8232,6.1477
Secretariat_-_Borderline,xover150,bass,-5.0682,-2.4957,23.8134
Secretariat_-_Borderline,xover150,drums,-5.4627,-9.8319,14.5885
Secretariat_-_Borderline,xover150,other,1.8012,0.1338,9.9494
Secretariat_-_Borderline,xover250,vocals,1.2595,0.8232,6.1477
Secretariat_-_Borderline,xover250,bass,-6.6258,-5.3365,27.6824
Secretariat_-_Borderline,xover250,drums,-5.4627,-9.8319,14.5885
Secretariat_-_Borderline,xover250,other,1.8012,0.1338,9.9494
Secretariat_-_Borderline,xover150d,vocals,1.2595,0.8232,6.1477
Secretariat_-_Borderline,xover150d,bass,-1.9043,-1.7100,13.2028
Secretariat_-_Borderline,xover150d,drums,-5.4627,-9.8319,14.5885
Secretariat_-_Borderline,xover150d,other,1.8012,0.1338,9.9494
Signe_Jakobsen_-_What_Have_You_Done_To_Me,xover100,vocals,2.4755,1.4684,4.9399
Signe_Jakobsen_-_What_Have_You_Done_To_Me,xover100,bass,-4.4523,-6.6637,1.5377
Signe_Jakobsen_-_What_Have_You_Done_To_Me,xover100,drums,-1.2856,-5.7722,13.4941
Signe_Jakobsen_-_What_Have_You_Done_To_Me,xover100,other,0.1587,-6.4335,4.0511
Signe_Jakobsen_-_What_Have_You_Done_To_Me,xover150,vocals,2.4755,1.4684,4.9399
Signe_Jakobsen_-_What_Have_You_Done_To_Me,xover150,bass,-4.5334,-3.6986,3.6764
Signe_Jakobsen_-_What_Have_You_Done_To_Me,xover150,drums,-1.2856,-5.7722,13.4941
Signe_Jakobsen_-_What_Have_You_Done_To_Me,xover150,other,0.1587,-6.4335,4.0511
Signe_Jakobsen_-_What_Have_You_Done_To_Me,xover250,vocals,2.4755,1.4684,4.9399
Signe_Jakobsen_-_What_Have_You_Done_To_Me,xover250,bass,-4.6991,-2.0821,7.9543
Signe_Jakobsen_-_What_Have_You_Done_To_Me,xover250,drums,-1.2856,-5.7722,13.4941
Signe_Jakobsen_-_What_Have_You_Done_To_Me,xover250,other,0.1587,-6.4335,4.0511
Signe_Jakobsen_-_What_Have_You_Done_To_Me,xover150d,vocals,2.4755,1.4684,4.9399
Signe_Jakobsen_-_What_Have_You_Done_To_Me,xover150d,bass,-1.4688,-2.4209,3.5664
Signe_Jakobsen_-_What_Have_You_Done_To_Me,xover150d,drums,-1.2856,-5.7722,13.4941
Signe_Jakobsen_-_What_Have_You_Done_To_Me,xover150d,other,0.1587,-6.4335,4.0511
The_Mountaineering_Club_-_Mallory,xover100,vocals,4.9044,6.6640,9.5200
The_Mountaineering_Club_-_Mallory,xover100,bass,-5.2373,0.1317,20.8414
The_Mountaineering_Club_-_Mallory,xover100,drums,0.0911,-4.2236,12.4138
The_Mountaineering_Club_-_Mallory,xover100,other,-1.2202,-9.9632,4.6192
The_Mountaineering_Club_-_Mallory,xover150,vocals,4.9044,6.6640,9.5200
The_Mountaineering_Club_-_Mallory,xover150,bass,-3.9393,-0.2823,25.3587
The_Mountaineering_Club_-_Mallory,xover150,drums,0.0911,-4.2236,12.4138
The_Mountaineering_Club_-_Mallory,xover150,other,-1.2202,-9.9632,4.6192
The_Mountaineering_Club_-_Mallory,xover250,vocals,4.9044,6.6640,9.5200
The_Mountaineering_Club_-_Mallory,xover250,bass,-3.3589,-1.1217,26.7168
The_Mountaineering_Club_-_Mallory,xover250,drums,0.0911,-4.2236,12.4138
The_Mountaineering_Club_-_Mallory,xover250,other,-1.2202,-9.9632,4.6192
The_Mountaineering_Club_-_Mallory,xover150d,vocals,4.9044,6.6640,9.5200
The_Mountaineering_Club_-_Mallory,xover150d,bass,-1.5229,-0.6466,12.0223
The_Mountaineering_Club_-_Mallory,xover150d,drums,0.0911,-4.2236,12.4138
The_Mountaineering_Club_-_Mallory,xover150d,other,-1.2202,-9.9632,4.6192
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,xover100,vocals,3.4184,4.9550,8.1526
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,xover100,bass,-4.5299,-3.0429,18.2020
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,xover100,drums,0.7179,-2.9372,11.5391
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,xover100,other,-2.6388,-10.3679,5.7334
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,xover150,vocals,3.4184,4.9550,8.1526
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,xover150,bass,-4.9543,-0.7760,21.8224
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,xover150,drums,0.7179,-2.9372,11.5391
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,xover150,other,-2.6388,-10.3679,5.7334
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,xover250,vocals,3.4184,4.9550,8.1526
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,xover250,bass,-4.0830,-0.3763,24.0923
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,xover250,drums,0.7179,-2.9372,11.5391
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,xover250,other,-2.6388,-10.3679,5.7334
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,xover150d,vocals,3.4184,4.9550,8.1526
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,xover150d,bass,-2.2084,-0.7196,10.3482
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,xover150d,drums,0.7179,-2.9372,11.5391
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,xover150d,other,-2.6388,-10.3679,5.7334
Timboz_-_Pony,xover100,vocals,-4.2812,-11.4941,3.2880
Timboz_-_Pony,xover100,bass,-5.7748,-4.1071,18.7205
Timboz_-_Pony,xover100,drums,-0.6921,-5.7559,22.4576
Timboz_-_Pony,xover100,other,1.6037,1.0048,10.0667
Timboz_-_Pony,xover150,vocals,-4.2812,-11.4941,3.2880
Timboz_-_Pony,xover150,bass,-8.3720,-7.6354,23.1241
Timboz_-_Pony,xover150,drums,-0.6921,-5.7559,22.4576
Timboz_-_Pony,xover150,other,1.6037,1.0048,10.0667
Timboz_-_Pony,xover250,vocals,-4.2812,-11.4941,3.2880
Timboz_-_Pony,xover250,bass,-9.4564,-8.6203,25.9651
Timboz_-_Pony,xover250,drums,-0.6921,-5.7559,22.4576
Timboz_-_Pony,xover250,other,1.6037,1.0048,10.0667
Timboz_-_Pony,xover150d,vocals,-4.2812,-11.4941,3.2880
Timboz_-_Pony,xover150d,bass,-4.2609,-7.6726,18.6991
Timboz_-_Pony,xover150d,drums,-0.6921,-5.7559,22.4576
Timboz_-_Pony,xover150d,other,1.6037,1.0048,10.0667
Zeno_-_Signs,xover100,vocals,-0.5087,-2.6571,5.9007
Zeno_-_Signs,xover100,bass,-6.6885,-9.8509,21.9347
Zeno_-_Signs,xover100,drums,2.7334,1.0890,14.7451
Zeno_-_Signs,xover100,other,0.3204,-6.7764,4.1938
Zeno_-_Signs,xover150,vocals,-0.5087,-2.6571,5.9007
Zeno_-_Signs,xover150,bass,-7.7480,-6.6720,25.9878
Zeno_-_Signs,xover150,drums,2.7334,1.0890,14.7451
Zeno_-_Signs,xover150,other,0.3204,-6.7764,4.1938
Zeno_-_Signs,xover250,vocals,-0.5087,-2.6571,5.9007
Zeno_-_Signs,xover250,bass,-8.0796,-7.1293,27.8177
Zeno_-_Signs,xover250,drums,2.7334,1.0890,14.7451
Zeno_-_Signs,xover250,other,0.3204,-6.7764,4.1938
Zeno_-_Signs,xover150d,vocals,-0.5087,-2.6571,5.9007
Zeno_-_Signs,xover150d,bass,-3.7052,-5.6456,12.4970
Zeno_-_Signs,xover150d,drums,2.7334,1.0890,14.7451
Zeno_-_Signs,xover150d,other,0.3204,-6.7764,4.1938
